"codigo","nome","cep","cpf"
"1","Zeca Rodrigues","0630675","83943922929"
"2","Claudia Oliveira","1803719","79801004797"
"3","Gabriel Medeiros","4216858","17378918523"
"4","Gabriel Carvalho","4007252","92115189591"
"5","José Textor","6723306","92111765644"
"6","Ana Ferreira","6832021","91129212944"
"7","Fernanda Lima","4856283","41849524462"
"8","Claudio Correia","5898337","87033339034"
"9","Ivan Silva","7228367","27581840128"
"10","Sérgio Rosa","4562954","39795179302"
"11","Fernanda Pereira","5076864","96765274320"
"12","Valéria Pereira","0764528","61585788071"
"13","Natália Oliveira","6843183","16951121586"
"14","Daniela Pereira","6507229","36785166686"
"15","Ana Correia","6237163","49941543112"
"16","Eduardo Gomes","1271911","65708703683"
"17","Zeca Oliveira","0961714","11713913950"
"18","Ana Medeiros","6930766","14268957421"
"19","Fernanda Mendes","6875408","15151481666"
"20","Patrícia Carvalho","8378730","75165185188"
"21","Bruno Dias","2705630","16095154415"
"22","Quintino Textor","3938913","10572140550"
"23","Juliana Correia","5276341","50734161531"
"24","Paula Mendes","7352695","83070600181"
"25","Patrícia Souza","4822939","12340098508"
"26","Marcos Silva","9027678","84568541691"
"27","Juliana Barros","3110079","10148047684"
"28","Tatiana Teixeira","3571348","92332551137"
"29","Claudia Santos","8669657","47968513541"
"30","Maria Costa","4672452","70958102640"
"31","Juliana Medeiros","1290074","21991698512"
"32","José Ferreira","7182129","11413291549"
"33","Zeca Martins","2403076","34183333847"
"34","Tatiana Rodrigues","5187577","39712156201"
"35","João Rodrigues","1318951","37815773197"
"36","Helena Medeiros","7998621","87311392261"
"37","Duda Gomes","3427331","96959015821"
"38","Paula Almeida","8962441","97557135664"
"39","João Silva","6444599","88002117190"
"40","Xênia Araújo","7009808","02748012194"
"41","Helena Dias","7718037","30554751542"
"42","João Gomes","8668814","36120028125"
"43","Marcos Almeida","0128120","03534491108"
"44","Zeca Martins","3425669","83561861124"
"45","Joana Araújo","6646216","19228615799"
"46","Zeca Gomes","2696379","41869155994"
"47","Sérgio Rodrigues","5951716","14396414897"
"48","Patrícia Correia","5628772","31540327173"
"49","Natália Correia","2955501","21961256899"
"50","Tatiana Gomes","8997028","65863013781"
